Nodes,Dimension,Size,Time
Nodes,Dimension,Size,Time
4,4,1.4052609538511993,3.790855407714844e-05
4,4,1.566527914782083,2.7179718017578125e-05
4,4,1.9883295478075398,2.8848648071289062e-05
4,4,1.4307493721484594,5.793571472167969e-05
4,4,2.1262721438732166,2.6941299438476562e-05
1,0,0,2.1457672119140625e-06
1,0,0,9.5367431640625e-07
1,0,0,9.5367431640625e-07
1,0,0,9.5367431640625e-07
1,0,0,2.1457672119140625e-06
2,0,0.10304731101436349,1.5974044799804688e-05
2,0,0.5632754759858268,1.0967254638671875e-05
2,0,0.4789329995651789,1.0013580322265625e-05
2,0,0.3680930694529453,7.867813110351562e-06
2,0,0.3672501947298037,1.2874603271484375e-05
4,0,0.6436096519085301,3.695487976074219e-05
4,0,0.3583085274748955,3.790855407714844e-05
4,0,0.42346663754407987,5.316734313964844e-05
4,0,0.20860132351439586,5.507469177246094e-05
4,0,0.5137979165633533,5.793571472167969e-05
8,0,0.8902590298227334,0.00012302398681640625
8,0,2.2091002142499536,0.00012803077697753906
8,0,1.633635300324068,0.0001239776611328125
8,0,0.9171745793087698,0.00012803077697753906
8,0,0.8613304243202687,0.00012803077697753906
16,0,1.5994291699558176,0.0006220340728759766
16,0,0.9864481913243887,0.0005910396575927734
16,0,0.9019246491186645,0.0006220340728759766
16,0,1.1514760471340022,0.0005960464477539062
16,0,1.5006397500049424,0.0006318092346191406
32,0,1.11266326036298,0.003509998321533203
32,0,0.7214293752203161,0.0033829212188720703
32,0,1.0999864422389605,0.00333404541015625
32,0,0.8192444404152506,0.003412008285522461
32,0,1.2078675884504926,0.0033309459686279297
64,0,1.3651582149693433,0.026921987533569336
64,0,1.1701535238199552,0.025034189224243164
64,0,1.2190508755246947,0.025906085968017578
64,0,1.0994940326152929,0.026134014129638672
64,0,1.4553263614211698,0.02420210838317871
128,0,1.3474067136347587,0.16943597793579102
128,0,1.315138699246765,0.17360210418701172
128,0,1.153537533086038,0.1798698902130127
128,0,1.338733326725231,0.1838819980621338
128,0,1.0935573285387035,0.17930889129638672
256,0,1.2323983489266386,1.266819953918457
256,0,1.1616101355182125,1.5048000812530518
256,0,1.20011268459049,1.3797359466552734
256,0,1.2367914259932011,1.4033520221710205
256,0,1.0796874774004106,1.3416261672973633
512,0,1.1425987650094158,12.019124984741211
512,0,1.1826596984966449,12.08805799484253
512,0,1.156839834529511,12.316708087921143
512,0,1.3506162183765875,11.864476919174194
512,0,1.212554931838342,12.286855936050415
1024,0,1.174854846315247,110.95750379562378
1024,0,1.2199410786348888,101.72083687782288
1024,0,1.2149097165834473,104.28518080711365
1024,0,1.199843434509107,103.6997139453888
1024,0,1.2116858143739537,103.77447509765625
1,2,0,2.1457672119140625e-06
1,2,0,9.5367431640625e-07
1,2,0,2.1457672119140625e-06
1,2,0,2.1457672119140625e-06
1,2,0,9.5367431640625e-07
2,2,0.330624771988727,1.4066696166992188e-05
2,2,0.7402420970716423,1.0967254638671875e-05
2,2,0.08284276308187882,1.0967254638671875e-05
2,2,0.48326281171577073,1.1920928955078125e-05
2,2,0.33683439061232767,1.2159347534179688e-05
4,2,1.1167494504250965,3.1948089599609375e-05
4,2,1.3098878999392847,5.698204040527344e-05
4,2,1.0368521496635845,5.316734313964844e-05
4,2,1.1452126587015552,4.601478576660156e-05
4,2,1.5865979631223404,5.0067901611328125e-05
8,2,1.937344739122796,0.0001761913299560547
8,2,2.363488693176908,0.00011920928955078125
8,2,2.4041970038354767,0.00011897087097167969
8,2,1.5333296491584376,0.00011706352233886719
8,2,1.5998297583125605,0.00011897087097167969
16,2,2.6919188811363757,0.0006170272827148438
16,2,2.2081850236565876,0.0006110668182373047
16,2,3.010740120937471,0.0006020069122314453
16,2,2.8338402000619496,0.0006210803985595703
16,2,2.243842061490971,0.0015349388122558594
32,2,4.128168802182213,0.003676891326904297
32,2,3.693168872390542,0.0033600330352783203
32,2,4.104601491189185,0.0038459300994873047
32,2,3.989499633841776,0.0040130615234375
32,2,3.800297316548924,0.0033228397369384766
64,2,5.587449159590611,0.02847003936767578
64,2,5.545171035153189,0.0300140380859375
64,2,5.556596537734474,0.02860403060913086
64,2,5.265009420327645,0.02650284767150879
64,2,5.213351151593912,0.027261018753051758
128,2,7.761038794825638,0.18242597579956055
128,2,7.922005406752929,0.17681503295898438
128,2,7.949100936413544,0.18586087226867676
128,2,7.658810946195655,0.17338919639587402
128,2,7.5455780763245555,0.18346309661865234
256,2,10.668886257778928,1.4639549255371094
256,2,10.551410587901247,1.4374699592590332
256,2,10.593872690185986,1.427293062210083
256,2,11.00323862649392,1.4701101779937744
256,2,10.574614074673327,1.4402079582214355
512,2,15.044245241260636,12.41388988494873
512,2,14.807131990551289,13.3315908908844
512,2,14.954344631696605,12.476144075393677
512,2,15.230065348703091,12.334372997283936
512,2,15.157567599399966,12.43839406967163
1024,2,20.706118824133547,103.06745409965515
1024,2,21.420438292700883,105.70595002174377
1024,2,21.126043602252903,105.4186179637909
1024,2,20.7567646586806,127.16412115097046
1024,2,21.362071294666766,100.62567901611328
1,3,0,2.1457672119140625e-06
1,3,0,1.9073486328125e-06
1,3,0,9.5367431640625e-07
1,3,0,9.5367431640625e-07
1,3,0,9.5367431640625e-07
2,3,0.49867582169828334,1.0013580322265625e-05
2,3,0.5629369329569589,1.71661376953125e-05
2,3,0.33140732682805435,1.1920928955078125e-05
2,3,0.6455740801633348,1.3113021850585938e-05
2,3,0.5319587858372606,3.4809112548828125e-05
4,3,1.588010680825759,2.6941299438476562e-05
4,3,1.3967076477228666,2.6941299438476562e-05
4,3,1.9113029944015734,2.6941299438476562e-05
4,3,1.9843513964025261,2.5987625122070312e-05
4,3,1.7250936507522046,2.5987625122070312e-05
8,3,3.0712913092080933,0.00012087821960449219
8,3,2.855834055838883,0.00011897087097167969
8,3,2.7411680591908048,0.00011801719665527344
8,3,2.487473583531674,0.0001227855682373047
8,3,2.5859224440158806,0.00012183189392089844
16,3,4.178551103070448,0.0006139278411865234
16,3,4.137012947331519,0.0012171268463134766
16,3,4.576742094204662,0.0006799697875976562
16,3,4.199495049676227,0.0008499622344970703
16,3,4.882347576246096,0.0005919933319091797
32,3,7.420330423944312,0.004445075988769531
32,3,6.728538537974674,0.003525972366333008
32,3,6.685029863547345,0.004088163375854492
32,3,6.5976967580415415,0.0041959285736083984
32,3,6.354198717678937,0.0039501190185546875
64,3,10.982429556856797,0.025018930435180664
64,3,11.840990262370713,0.023714065551757812
64,3,10.442934430877836,0.027241945266723633
64,3,11.356883408955733,0.027183055877685547
64,3,11.312363740607363,0.025094032287597656
128,3,18.040091415870176,0.17960381507873535
128,3,18.54818038745126,0.17642903327941895
128,3,17.441359039934294,0.17778992652893066
128,3,17.88598337412159,0.1784811019897461
128,3,17.537882687988414,0.1804649829864502
256,3,27.33657498151091,1.3757719993591309
256,3,27.978769557532498,1.3887708187103271
256,3,27.590193655593527,1.362962007522583
256,3,27.562008672465414,1.3504319190979004
256,3,27.132142105993935,1.4338619709014893
512,3,43.27718214354252,12.327161073684692
512,3,43.556509717757784,12.555785179138184
512,3,42.85719424874473,12.020634174346924
512,3,42.940886170615734,13.976052045822144
512,3,43.25936341360603,12.155460834503174
1024,3,68.12960837694122,101.48649501800537
1024,3,68.39926923589653,101.2214789390564
1024,3,68.35034509083046,103.33791494369507
1024,3,68.16043294314967,100.06537699699402
1024,3,68.55478459796853,103.62564301490784
1,4,0,2.1457672119140625e-06
1,4,0,9.5367431640625e-07
1,4,0,2.1457672119140625e-06
1,4,0,9.5367431640625e-07
1,4,0,9.5367431640625e-07
2,4,1.0201373847092197,1.0013580322265625e-05
2,4,0.7771988492654204,7.867813110351562e-06
2,4,0.5358781993900171,7.152557373046875e-06
2,4,0.7876685840511036,6.9141387939453125e-06
2,4,0.15512712115681435,6.9141387939453125e-06
4,4,1.93642819839106,2.5987625122070312e-05
4,4,1.8229596540537236,2.5033950805664062e-05
4,4,2.1439930956485047,2.5987625122070312e-05
4,4,2.1634448924818805,2.5987625122070312e-05
4,4,2.059907389383129,2.5987625122070312e-05
8,4,3.500590179844224,0.00012111663818359375
8,4,3.535058823488735,0.00011706352233886719
8,4,3.5427605875440933,0.00011515617370605469
8,4,3.283484022937851,0.00011706352233886719
8,4,4.520748850599423,0.00011801719665527344
16,4,5.567331416583465,0.0005948543548583984
16,4,5.5098450355514,0.0005738735198974609
16,4,6.410408399700934,0.0005619525909423828
16,4,7.542696582833032,0.0005598068237304688
16,4,4.981230382038639,0.0005769729614257812
